neurotensin	diagnostic_biomarker	autism
PPD	decreases_expression	caspase-3
RPE	improper_regulation	RPE
MUC4	promotes_progression	SCLC
ANGPTL3	promotes_progression	glioblastoma
delta-aminolevulinic_acid	inhibits_cell_growth	fibrosarcoma
Rbx1	signals	SCF
curcumin	activates	miR-7
sodium_butyrate	alleviates	diabetic_nephropathy
Gln	transport,	factor_V_Leiden
cyclosporine	metabolism	Klotho
LIG	decreases_expression	AP-1
Cip1	role_in_disease_pathogenesis	pancreatitis
citrate_synthase	same_complex	hexokinase
PI3K	enhances	AGAP2
S-farnesylthioacetic_acid	inhibits	DNMT1
cyanamide	blocks	ALDH2
RP2	causal_mutation	retinal_degeneration
wogonin	inhibits_cell_growth	glioma
sulfide	alleviates	bleeding
Pim-1	production	GBP1
phosphate	suppresses	stroke
PEI	role_in_disease_pathogenesis	DDGS
CRNDE	increases_expression	Six1
HIF-1a	regulates	SAP
JDP2	binds	GR
MLN4924	enzyme_activity	Uba3
GATA5	role_in_disease_pathogenesis	heart_disease
chymase	binds	MC-CPA
MKI67	promotes_progression	liver_cancer
miR-342	improper_regulation	tumor
zanoterone	binds	cytochrome_P-450
MOZ	mutations_affecting_disease	AML
ceramide	binds	GM1
diclofenac	decreases_expression	ATF6
lysophosphatidic_acid	increases_expression	VASP
RIOK3	regulates	IRF3
pregabalin	affects_expression	Bid
N-methyl-D-aspartate	decreases_expression	GnRH
AAT	same_complex	mPR3
bifonazole	treatment	dermatophytosis
ICAM-1	regulates	CINC-1
bicalutamide	treatment	metastasis
CD36	same_complex	JNK
WDR5	enhances	RbBP5
CaMKK	production	mTOR
ethylene_glycol	role_in_disease_pathogenesis	ketosis
DC-SIGN	binds	CD4
C3b	polymorphisms_alter_risk	immunodeficiency
SENP6	production	SENP3
aldehyde	transport,	ALDH2
PMMA	side_effect	cardiovascular_disease
estradiol	increases_expression	MT1-MMP
XLPTP1	enhances	fibroblast_growth_factor_receptor
miR-135b	increases_expression	CaSR
WIP	role_in_disease_pathogenesis	COPD
GA	binds	RIP1
PMA	metabolism	TSG
CD52	activates	CD20
SUV39H1	mutations_affecting_disease	tumor
FAAH	therapeutic_effect	hypothalamus
SRT2183	activates	SIRT1
PRDM8	binds	laforin
FK866	side_effect	tumor
d-amphetamine	affects_expression	TRH
caspase-9	same_complex	Kindlin-2
p19	polymorphisms_alter_risk	HNSCC
HMGA1	improper_regulation	endometrial_cancer
eotaxin	same_complex	CCR3
MED12	causal_mutation	breast_cancer
BAFF	role_in_disease_pathogenesis	idiopathic_thrombotic_thrombocytopenic_purpura
tyrosine	activates	Itk
Lgr5	overexpression	colon_cancer
BATF3	activates	OX40
RXR	regulates	PCFT
PTB	therapeutic_effect	preterm_birth
urea	treatment	encephalopathy
MC1568	inhibits	HDAC4
melatonin	decreases_expression	HuR
Otx2	improper_regulation	sensorineural_hearing_loss
cholinesterase	production	cholinesterase
miR-221	regulates	caspase-3
As2O3	inhibits_cell_growth	leukemia
AZT	decreases_expression	ADAM8
NTE	drug_target	cholinergic_syndrome
FTH1	binds	HIF-1a
LTBP2	promotes_progression	gastric_cancer
XIAP	mutations_affecting_disease	glioblastoma
RhoB	binds	GEF
Per1	increases_expression	DBP
TBP	polymorphisms_alter_risk	tumor
GaAs	side_effect	pulmonary_toxicity
artesunate	decreases_expression	SCN4A
lorazepam	treatment	ALL
GSK3b	role_in_disease_pathogenesis	glioblastoma
succinate	treatment	coronary_heart_disease
COMP	enhances	PCNA
furazolidone	side_effect	toxicity
BSP	diagnostic_biomarker	metastasis
GW2974	activates	AMPK
nucleotide	binds	RIP2
Vanin-1	signals	GSTA3
superoxide	decreases_expression	synaptophysin
GRK1	therapeutic_effect	cone_dystrophy
eIF5A	promotes_progression	HCC
NLRP1	therapeutic_effect	SLE
cisplatin	transport,	HMGN5
silymarin	suppresses	NASH
Vanin-1	diagnostic_biomarker	IBD
hBD-2	polymorphisms_alter_risk	AD
ribavirin	progression_biomarker	hematologic_malignancies
16-acetylgitoxin	alleviates	aortic_coarctation
ATZ	role_in_disease_pathogenesis	toxicity
cidofovir	affects_expression	p53
CARMA3	overexpression	breast_cancer
SIGIRR	regulates	HOXD10
IFN-alpha	role_in_disease_pathogenesis	schistosomiasis
sulfite	inhibits	ovoperoxidase
ACTH	decreases_expression	IL-2
PITX2	increases_expression	DLX2
methemoglobin	binds	methemoglobin
CK2	binds	CABP4
propionic_acid	role_in_disease_pathogenesis	CLL
DOX	alleviates	HCC
NK3	binds	Msx2
GLS1	increases_expression	TXNIP
E-cadherin	overexpression	prostate_cancer
CASC2	signals	eIF4AIII
AURKA	activates	FLT3
OK-432	treatment	renal_cancer
RARbeta	mutations_affecting_disease	tumor
IL-10	therapeutic_effect	endometritis
polyurethane	side_effect	inflammation
ribonucleic_acid	transport,	GPR40
NAG	increases_expression	LAP
brefeldin_A	inhibits	GEF
genistein	alleviates	cystic_fibrosis
SFA	blocks	TLR4
AZD6244	inhibits_cell_growth	glioma
AITC	alleviates	TBI
ALDH	role_in_disease_pathogenesis	hypertension
MTA	increases_expression	PRMT5
Has2	enhances	CD44
cinnamic_acid	decreases_expression	AKR1C3
RIG-1	promotes_progression	colorectal_cancer
zinc	transport,	RFP
Slug	improper_regulation	leiomyosarcoma
IRS-2	activates	IGFBP-5
miR-30e	polymorphisms_alter_risk	schizophrenia
CXCL9	increases_expression	ZEB2
peroxides	metabolism	DHP
cepharanthine	decreases_expression	TNF-alpha
annexin_V	overexpression	PKC
okadaic_acid	increases_expression	FasL
KIF3A	activates	DUSP26
trifluoperazine	alleviates	glioblastoma
IBU	suppresses	Oxidative_stress
VIP	affects_expression	activin
ketanserin	decreases_expression	c-fos
miR-141	binds	SNHG15
glucuronic_acid	transport,	H-2
ganglioside_GD3	inhibits_cell_growth	melanoma
CNTF	production	BDNF
FBXW7	activates	Myf5
myostatin	activates	FSTL3
DINE	improper_regulation	nerve_injury
dipyridamole	decreases_expression	MRP
enoxacin	role_in_disease_pathogenesis	middle_ear_effusion
succinate	role_in_disease_pathogenesis	Fabry_disease
MMP-28	improper_regulation	glioma
sertraline	treatment	hypertension
morusin	affects_expression	STAT3
CBP	enhances	HS2
cystatin_A	promotes_progression	systemic_candidiasis
miR-19a	increases_expression	miR-122
HES3	regulates	GFAP
NMDA	side_effect	leukoencephalopathy
PEBP4	enhances	ER
chalcones	inhibits_cell_growth	rhabdomyosarcoma
mL-1	same_complex	ADI
lactacystin	treatment	hyperthermia
capsazepine	progression_biomarker	diabetes
progesterone	increases_expression	SOX4
FasL	therapeutic_effect	TCC
IRAK2	same_complex	ICAM-1
OCT4	same_complex	GCAP
TNFAIP3	promotes_progression	RA
TSP-1	production	FGF8
deltamethrin	affects_expression	AChE
Tubastatin_A	alleviates	CKD
MPD	overexpression	oral_leukoplakia
corticosteroids	suppresses	vasculitis
SCN4A	role_in_disease_pathogenesis	toxicity
aldosterone	increases_expression	NDRG2
YB-1	activates	YAP
PEG	role_in_disease_pathogenesis	hypotonic
Aspm	polymorphisms_alter_risk	glioma
SLC11A1	causal_mutation	infection
glycosylphosphatidylinositol	increases_expression	ephrin-A5
GIRK2	increases_expression	EN1
COP1	diagnostic_biomarker	gastric_cancer
miR-613	regulates	PFKFB2
lutein	transport,	TTR
potassium	inhibits	VAChT
SRIF	increases_expression	NHE8
nitrate	decreases_expression	CO2
guanine_nucleotide	transport,	EFA6A
prostasin	overexpression	dysplasia
BAs	activates	catalase
miR-129-5p	improper_regulation	lung_cancer
ATP	binds	CSB
PCB	increases_expression	CYP1A
MBD3	activates	RbAp46
chenodeoxycholic_acid	treatment	constipation
ASM	regulates	cathepsin_D
miR-16	binds	MTA1
Isl1	activates	POMC
DEPTOR	promotes_progression	ESCC
LGR4	drug_target	PTC
Trp53	mutations_affecting_disease	leiomyosarcoma
serine	transport,	MMAB
PRKCH	promotes_progression	glioblastoma
ginsenosides	alleviates	pain
RUNX3	activates	HOXD-AS1
lanatoside_C	affects_expression	c-myc
CYP1A2	mutations_affecting_disease	toxicity
angiotensin_II	overexpression	SMA
RIG-I	role_in_disease_pathogenesis	dermatomyositis
FGF3	improper_regulation	colon_cancer
DMP1	activates	bFGF
curcumin	transport,	CISD2
bombesin	activates	GRPR
CS1	therapeutic_effect	red_cell_aplasia
dequalinium	treatment	hypersensitivity
aminoglycoside	inhibits_cell_growth	pneumonia
TSA	metabolism	HDAC4
LRBA	therapeutic_effect	leishmaniasis
NNMT	diagnostic_biomarker	schizophrenia
mannose	binds	IRBP
VLA-5	production	CD36
KAP1	enhances	E2F1
superoxide	binds	chromogranin_A
ganglioside_GM3	progression_biomarker	atherosclerosis
baicalein	increases_expression	CHOP
Runx3	role_in_disease_pathogenesis	tumor
miR-199a-3p	enhances	NLK
cortisol	binds	leptin
MARCKS	enhances	APP
PH	inhibits	Itk
Rg1	inhibits	NF-kB
miR-374a	diagnostic_biomarker	metastasis
hydroxyapatite	decreases_expression	RTN3
SAM	side_effect	SAH
FoxO1	enhances	insulin
PTC124	decreases_expression	HERG
ristocetin	alleviates	von_Willebrand_factor
HCHO	affects_expression	PLD
ricin	activates	Rab6
triptolide	side_effect	cardiotoxicity
IL-13	affects_expression	IFN-beta
miR-139	activates	FOXP2
SKF96365	decreases_expression	MLC
MIF	diagnostic_biomarker	COPD
karenitecin	side_effect	melanoma
calcium	metabolism	PS2
retinoic_acid	increases_expression	NAV2
N-cadherin	polymorphisms_alter_risk	ES
anthocyanins	metabolism	LDOX
CREB	enhances	Ran
8-chloroadenosine	alleviates	thyroid_carcinoma
CTR	diagnostic_biomarker	pericardial_effusion
adiponectin	same_complex	CTRP1
oxygen	alleviates	APCs
kallidin	inhibits_cell_growth	psoriasis
myoglobin	overexpression	angina_pectoris
MCT2	activates	MCT8
lysozyme	activates	p53
VAChT	binds	PACAP
DHEAS	increases_expression	IgG
ascorbate	enzyme_activity	ceruloplasmin
NMDA	binds	LGI1
SKF-83566	metabolism	DAT
LOXL1	increases_expression	TIMP-4
HMGB2	activates	CENPF
VEGF	affects_expression	IL-16
PORCN	binds	FZD2
OH-2	metabolism	galectin-1
cephalotaxine	progression_biomarker	leukemia
GDC-0449	alleviates	glioblastoma
PKM	enhances	L-PK
CD64	enhances	PKC
phosphatidylcholine	binds	LPCAT1
MED12	promotes_progression	leiomyosarcoma
gadolinium	transport,	GD3
L-arginine	enzyme_activity	CHM
icariin	increases_expression	Foxp3
ephrin-A5	diagnostic_biomarker	glioma
ERK1/2	increases_expression	UII
FBXL18	role_in_disease_pathogenesis	glioma
bunazosin	affects_expression	leptin
CPEB1	regulates	miR-183
resveratrol	affects_expression	miR-15a
thrombin	drug_target	coronary_artery_disease
APRIL	polymorphisms_alter_risk	glioblastoma
HRAS	regulates	HER2
HD5	regulates	hBD-1
Vav2	binds	p190RhoGAP
YAP	enhances	HER4
molybdenum	increases_expression	PA1006
PBN	inhibits	RPE65
SCRG1	regulates	CD157
CBZ	transport,	A2AR
nitrendipine	decreases_expression	calmodulin
GST	improper_regulation	retinal_pigment_epithelium
kynurenine	role_in_disease_pathogenesis	ischemic_stroke
phosphocreatine	suppresses	cardiomyopathy
glutaconyl-CoA	transport,	GCDH
FG-4095	side_effect	heart_failure
CYP1A1	increases_expression	GSTM1
androgen	increases_expression	CK5/6
FBN2	activates	TFAP2B
gossypol	blocks	aldose_reductase
SOCS3	binds	miR-125a
NRAS	activates	LTB
haematoporphyrin	progression_biomarker	hypertension
iron	alleviates	pervasive_developmental_disorders
polyunsaturated_fatty_acids	increases_expression	apoA-I
TGase	activates	TSP-1
TES	metabolism	Tsk
ST7L	promotes_progression	tumor
glucose	metabolism	PHD3
twi	same_complex	Twist1
MT-RNR1	improper_regulation	Entamoeba_gingivalis
D-penicillamine	activates	ACTH
TrkC	role_in_disease_pathogenesis	fibrosarcoma
CXCR3	activates	TARC
IGFBP-1	same_complex	IGFBP-1
CoCl2	increases_expression	HK2
polymyxin	metabolism	p44
rhein	alleviates	gouty_arthritis
AS1	enhances	IgG1
leptin	binds	ClC-5
TNF-alpha	therapeutic_effect	amyloidosis
hTERT	diagnostic_biomarker	pulmonary_fibrosis
PPP3CC	increases_expression	sEH
tamoxifen	alleviates	cardiovascular_disease
miR-16-2	regulates	miR-195
SPT	causal_mutation	autosomal_recessive_disorder
N/OFQ	signals	ORL1
acids	decreases_expression	phospholipase_A2
allyl_isothiocyanate	inhibits_cell_growth	tumor
ARHI	improper_regulation	glioma
CCK	enhances	CCKBR
auranofin	inhibits	trxr-1
rhein	side_effect	toxicity
DTDST	activates	DTDST
shikonin	decreases_expression	NF-kappaB
KIF14	drug_target	tumor
Rad51	polymorphisms_alter_risk	HR
Ubc9	promotes_progression	hypothermia
COX-2	increases_expression	PGDH
CNP	enhances	PACAP
HFE	increases_expression	S100B
DOXO-EMCH	treatment	sarcoma
XPD	overexpression	lung_cancer
Gcdh	polymorphisms_alter_risk	Glutaric_acidemia_type_I
Daxx	increases_expression	tapasin
Pim-1	role_in_disease_pathogenesis	hypoxia
Munc18-1	promotes_progression	epilepsy
Ca	increases_expression	CO2
UHRF2	promotes_progression	tumor
dopamine_D2_receptor	same_complex	TNF-a
GDH	increases_expression	CD34
Hsp40	promotes_progression	mesothelioma
caspase-12	improper_regulation	amyloid-beta
sitagliptin	increases_expression	CREB
EFNB1	improper_regulation	AAA
miR-486	improper_regulation	tumor
BBS8	causal_mutation	vision_loss
MST4	promotes_progression	prostate_cancer
salmeterol	side_effect	preterm_birth
adenosine_kinase	affects_expression	adenosine_deaminase
EL2	polymorphisms_alter_risk	diabetes
GHRP-6	blocks	GHS-R
p24	same_complex	p68
tetraethylammonium	alleviates	hypoxia
PITX2	polymorphisms_alter_risk	atrial_fibrillation
etoposide	increases_expression	CD31
IGFBP-1	binds	FOXO1
nuciferine	alleviates	hepatic_steatosis
GJB6	causal_mutation	ectodermal_dysplasia
myo-inositol	affects_expression	OCRL
pyocyanin	inhibits_cell_growth	HCC
bupropion	activates	CD97
SRPX2	binds	vasopressin
ColQ	role_in_disease_pathogenesis	toxicity
MYPT1	mutations_affecting_disease	rhabdomyosarcoma
medroxyprogesterone	treatment	hypertension
XBP1	same_complex	CHOP
NRXN1	overexpression	intellectual_disability
B1_and_B2	role_in_disease_pathogenesis	schistosomiasis
Fra-2	improper_regulation	glioma
AR	same_complex	GPR158
U87	production	PKCalpha
BEX2	binds	mTOR
aFGF	enhances	bFGF
nestin	signals	vimentin
NMDAR	promotes_progression	pain
RIP1	enhances	NKAP
Csk	same_complex	caveolin-1
JAM-C	activates	Lrp5
Tim-3	enhances	NLRP3
CB2	role_in_disease_pathogenesis	atherosclerosis
methionine	decreases_expression	ENOPH1
gamma-linolenic_acid	decreases_expression	maspin
HDAC1	affects_expression	miR-761
EDL-291	inhibits_cell_growth	glioblastoma
CD44	therapeutic_effect	mesothelioma
U0126	blocks	Smad2
calcium	increases_expression	RNF138
GnT-V	increases_expression	GnT-Vb
SNHG14	role_in_disease_pathogenesis	glioma
berberine	inhibits	p21
PRDX3	binds	CUL4B
SDF-1	signals	Rac1
NR2E3	regulates	NR1D1
fluconazole	decreases_expression	CIC
Rab6	causal_mutation	malaria
ranitidine	metabolism	IF
