disease,id,c,d,e,f,g,h,i
3-methylcrotonyl CoA carboxylase 2 deficiency,MESH:C535309,DO:DOID:0080580|OMIM:210210,,MESH:D056806,C10.228.140.163.100.937/C535309|C16.320.565.100.940/C535309|C16.320.565.189.937/C535309|C18.452.132.100.937/C535309|C18.452.648.100.940/C535309|C18.452.648.189.937/C535309,C10.228.140.163.100.937|C16.320.565.100.940|C16.320.565.189.937|C18.452.132.100.937|C18.452.648.100.940|C18.452.648.189.937,"3 alpha methylcrotonyl-coa carboxylase 2 deficiency|3 alpha methylcrotonylglycinuria 2|3-Methylcrotonyl-CoA Carboxylase 2 Deficiency|3-Methylcrotonylglycinuria II|MCC2D|MCC2 Deficiency|methylcrotonoyl-CoA carboxylase 2 deficiency|Methylcrotonylglycinuria type 2|Methylcrotonylglycinuria, Type II",Genetic disease (inborn)|Metabolic disease|Nervous system disease
3-Methylglutaconic Aciduria,MESH:C579867,DO:DOID:0060336,,MESH:D008661,C16.320.565/C579867|C18.452.648/C579867,C16.320.565|C18.452.648,3mga (3-Methylglutaconic Aciduria),Genetic disease (inborn)|Metabolic disease
"3-Methylglutaconic Aciduria, Type I",MESH:C562801,DO:DOID:0110002|OMIM:250950,,MESH:D008661,C16.320.565/C562801|C18.452.648/C562801,C16.320.565|C18.452.648,"3-Methylglutaconyl-CoA Hydratase Deficiency|3-Mg-CoA-Hydratase Deficiency|MGA1|MGA, Type I|MGCA1",Genetic disease (inborn)|Metabolic disease
3-Methylglutaconic Aciduria Type IV,MESH:C565393,DO:DOID:0110006,,MESH:D000015|MESH:D008661,C16.131.077/C565393|C16.320.565/C565393|C18.452.648/C565393,C16.131.077|C16.320.565|C18.452.648,MGA4|MGA Type IV,Congenital abnormality|Genetic disease (inborn)|Metabolic disease
"3-Methylglutaconic Aciduria, Type V",MESH:C565706,OMIM:610198,,MESH:D002311|MESH:D002524|MESH:D008661,C10.228.140.252.190/C565706|C10.597.350.090.500/C565706|C14.280.195.160/C565706|C14.280.238.070/C565706|C16.320.488.750/C565706|C16.320.565/C565706|C18.452.648/C565706|C23.888.592.350.090.200/C565706,C10.228.140.252.190|C10.597.350.090.500|C14.280.195.160|C14.280.238.070|C16.320.488.750|C16.320.565|C18.452.648|C23.888.592.350.090.200,"Cardiomyopathy, Dilated, with Ataxia|DCMA|MGA5|MGA, Type V|MGCA5",Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"3-METHYLGLUTACONIC ACIDURIA, TYPE VIIB",OMIM:616271,DO:DOID:0081134|DO:DOID:0110003,,MESH:C579867|MESH:D002386|MESH:D009461|MESH:D009503,C10.597/616271|C11.510.245/616271|C15.378.553.546.184.564/616271|C16.320.565/C579867/616271|C18.452.648/C579867/616271|C23.888.592/616271,C10.597|C11.510.245|C15.378.553.546.184.564|C16.320.565/C579867|C18.452.648/C579867|C23.888.592,"3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA, AUTOSOMAL RECESSIVE|MEGCANN|MGCA7|MGCA7B",Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII",OMIM:617248,DO:DOID:0070000,,MESH:C579867,C16.320.565/C579867/617248|C18.452.648/C579867/617248,C16.320.565/C579867|C18.452.648/C579867,MGCA8,Genetic disease (inborn)|Metabolic disease
"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME",OMIM:614739,DO:DOID:0110001,,MESH:C579867|MESH:D001927|MESH:D003638|MESH:D007888,C09.218.458.341.186/614739|C10.228.140.163.100.412/614739|C10.228.140/614739|C10.597.751.418.341.186/614739|C16.320.565.189.412/614739|C16.320.565.202.810.444/614739|C16.320.565/C579867/614739|C18.452.132.100.412/614739|C18.452.648.189.412/614739|C18.452.648.202.810.444/614739|C18.452.648/C579867/614739|C18.452.660.520/614739|C23.888.592.763.393.341.186/614739,C09.218.458.341.186|C10.228.140|C10.228.140.163.100.412|C10.597.751.418.341.186|C16.320.565.189.412|C16.320.565.202.810.444|C16.320.565/C579867|C18.452.132.100.412|C18.452.648.189.412|C18.452.648.202.810.444|C18.452.648/C579867|C18.452.660.520|C23.888.592.763.393.341.186,"3-METHYLGLUTACONIC ACIDURIA, TYPE VI|3-METHYLGLUTACONIC ACIDURIA WITH DYSTONIA-DEAFNESS, HEPATOPATHY, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME|MEGDEL|MEGDHEL|MGCA6",Ear-nose-throat disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"46, XX Disorders of Sex Development",MESH:D058489,,"Congenital conditions in individuals with a female karyotype, in which the development of the gonadal or anatomical sex is atypical.",MESH:D012734,C12.050.351.875.253.064|C12.200.706.316.064|C12.800.316.064|C16.131.939.316.064|C19.391.119.064,C12.050.351.875.253|C12.200.706.316|C12.800.316|C16.131.939.316|C19.391.119,"46,XX Disorders of Sex Development|46, XX DSD|46,XX DSD|Female Pseudohermaphroditism|Female Pseudohermaphroditisms|Pseudohermaphroditism, Female|Pseudohermaphroditisms, Female",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX Gonadal dysgenesis epibulbar dermoid",MESH:C535316,,,MESH:D003884|MESH:D023961,C04.182.201/C535316|C04.557.465.910.250/C535316|C12.050.351.875.253.064.249/C535316|C12.050.351.875.253.309.193/C535316|C12.200.706.316.064.249/C535316|C12.200.706.316.309.193/C535316|C12.800.316.064.249/C535316|C12.800.316.309.193/C535316|C16.131.939.316.064.249/C535316|C16.131.939.316.309.193/C535316|C19.391.119.064.249/C535316|C19.391.119.309.193/C535316,C04.182.201|C04.557.465.910.250|C12.050.351.875.253.064.249|C12.050.351.875.253.309.193|C12.200.706.316.064.249|C12.200.706.316.309.193|C12.800.316.064.249|C12.800.316.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,,Cancer|Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
