Gbp1	role_in_disease_pathogenesis	mitochondrial_dysfunction	0.9418272114924876
TNFR_p55	treatment	arthritis	0.4672671851251435
guanine_nucleotide	transport,	GRPR	0.9591529458346154
ER	binds	let-7c	0.998038699181974
scutellarein	progression_biomarker	diabetes	0.9680078998416518
TCP1	same_complex	tricellulin	0.9996861588041962
M-CSF	enhances	Vav	0.9894872843340616
TFE3	promotes_progression	tumor	0.9999457206899984
Abca4	increases_expression	Rdh8	0.9871344397590228
somatostatin	metabolism	UII	0.9372347961731936
ACE	drug_target	allergy	0.9999310888759982
FTH1P3	activates	P-gp	0.9997770873332702
PAM	improper_regulation	gestational_trophoblastic_neoplasia	0.554347041140413
cyanide	side_effect	cystic_fibrosis	0.62189483273064
afadin	enhances	Rap1	0.999556654535515
domperidone	role_in_disease_pathogenesis	PONV	0.9206521384530062
ABH	affects_expression	IAP	0.8518035811512323
CYP2C11	regulates	STAT5b	0.9999228485207856
ammonium_acetate	inhibits	tyrosinase	0.9999844962349704
PMA	increases_expression	LIF	0.9050728319177204
DNMT1	activates	NEIL1	0.9981574573517644
SIX1	activates	SIX3	0.8648212400226605
alliin	inhibits_cell_growth	metabolic_syndrome	0.9987379409051024
lidocaine	suppresses	endophthalmitis	0.8915306737868967
ivermectin	alleviates	proteinuria	0.9436383438438702
cocaine	inhibits_cell_growth	glioma	0.8494774427064904
SDHD	activates	SDHAF2	0.972164572922476
meclizine	treatment	infancy	0.99998285188968
p70	same_complex	KIR	0.9989928976552565
P14	diagnostic_biomarker	liver_cirrhosis	0.9999919761019996
pomalidomide	inhibits_cell_growth	tumor	0.9994817924710594
miR-148a	production	miR-26a	0.6411166684668679
HCC	side_effect	liver_injury	0.9246581043224112
apoE	activates	CXCL16	0.972164572922476
leucine	transport,	CD98	0.9852106007589688
isobavachalcone	increases_expression	TNF-a	0.9994072791369412
DDT	activates	GSTT2B	0.9995277227308096
KLK6	binds	alpha-synuclein	0.99882068453201
potassium	affects_expression	LMNA	0.9975521940212712
S100P	enhances	XIAP	0.999556654535515
pyrin	diagnostic_biomarker	bleeding	0.9998987572869974
PDGFRA	regulates	S100A4	0.6951962733631212
NF-kappaB	activates	JNK2	0.9767716183955578
GnRHR	promotes_progression	glioblastoma	0.9999546885759988
miR-203	promotes_progression	metastasis	0.9995103062249872
PP2	suppresses	myocardium	0.962299879461332
miR-99b	regulates	miR-125a	0.998552032059746
vorinostat	suppresses	multiple_myeloma	1.0
IL-6	polymorphisms_alter_risk	ACS	0.999312540738982
SC1	overexpression	ischemic_stroke	0.9436276326055344
